sentiment,comment
not nostalgia,It's a nice love song that always make me happy.
nostalgia,This reminds me of my grandparents as they used to play this song. I used to listen to the lyrics.....it???s strange how much you understand at seven years old!
nostalgia,Sweet memories of my grandparents dancing .... I hope they still do wherever they are ..
nostalgia,"I remember this song, was played at my wedding,I liked it so much I got the person in charge to play it as we went out of the church."
not nostalgia,Such a melody that actually describes how great was the golden age
not nostalgia,"My Darling, I didn???t know God could make one so beautiful as you."
nostalgia,"This song reminds me of my older aunts and uncles twirling around the dance floor at the end of wedding receptions in the mid to late 70's. Man, I'm old!!!"
not nostalgia,I think that this is one of the most beautiful songs ever and only by Englebert. 
nostalgia,love love engelbert Humperdinck songs bring back childhood memories thank you
nostalgia,This song has beautiful memories taking me back to 1968 when as a primary school student we would waltz to this song played on a gramophone with our dance teacher Mrs Griffiths shouting instructions at us.
not nostalgia,Beautiful song sang by a true legend who belongs to everyone who loves song's
nostalgia,"This was the song played when I was in high school during our junior-senior prom.i remember my dad lend his hand to me saying that can I danced with my daughter .that was the best thing happened to me that night...that was my first and last dance with my dad.because I can't even hold his hands,hug him tight.saying him how much I love him so much because he's already gone.but his memories always remained in my heart.i miss you and I love you so much Papa."
nostalgia,"My theme song with my boyfriend in the 70''s........Good memories , very sentimental...yahooo."
not nostalgia,I would to have dance this song at my wedding someday
not nostalgia,Nowadays they do not compose any beautiful songs that is so touching and memorable after so many decades.
nostalgia,"This song will always remind me when I was little girl.I used to go on a bus trip to Largs with my pal and her mum. We always went to the fairground and this song was playing when I was on the waltzers.....Happy days! I loved the 1960s, happiest days of my life and such innocence"
nostalgia,Beautiful song and great memories of the late 60's
not nostalgia,Strickly Come Dancing just Brought me here. This was a family favorite the first time around.
not nostalgia,Any songs are also still so nice as the same whenever the time passed by.
not nostalgia,How can any music lover not like this genre of music just beautiful!
nostalgia,This song reminds me of my ex-girlfriend
nostalgia,Remembering the old good days?..Love this song
nostalgia,takes me back to my mother's kitchen radio...that was always playing from sun up to sunset....below my bedroom...life was sweet then..
nostalgia,i remember the day i was with my old friend
nostalgia,"Tranent British Legion, 1970's. Loved the club and people. This song reminds me o happy days"
nostalgia,"Such a beautiful song, my parents danced to this at their 60th (diamond) wedding anniversary last weekend...beautiful memories that will last forever"
nostalgia,I danced to this exact record in 1969.  Good memories! 
nostalgia,"My dad used to play this song, he died 4 years ago and it reminds me of him when i hear it.  I miss you so very much dad "
not nostalgia,"Just love this amazing, amazingly beautiful song...Such great lyrics, superb voice, mesmerizing music...it just makes you feel like getting up and dance the waltz.......on the scale of 1 to 10, it's undoubtedly an 11.....thx so much for sharing.Just love this amazing, amazingly beautiful song...Such great lyrics, superb voice, mesmerizing music...it just makes you feel like getting up and dance the waltz."
nostalgia,Beautiful nostalgic song
nostalgia,"beautiful song and a wonderful song brings back so mant happy memories,before our daughter died 2016 always miss her"
nostalgia,"Marvelous song, tastefully song. What memories it brings back! Were we ever so young?"
nostalgia,"I was so lucky to grow up in the era, where the music was just amazing..You just fell in love listening to all these wonderful music..Thanks for the memory."
not nostalgia,"What a very beautiful song... I always love his music, and it was a dream come true to see his concert few days ago! "
nostalgia,This song is a blast from the past for me! I remember it playing in our house when I was very little. They just don???t make them like this anymore!
nostalgia,When i was 15 years old this is my favorite until now. So far I am 20 years old now.
nostalgia,"Remembering my mom dancing to this song in our living room... June Jensen April, 11 1927-Feb, 15, 2009"
nostalgia,2019 Anyone?I remembered my dad that always sing this song
nostalgia,"I grew up with my grandma & mother This music was blasting all the time as a child . Also Tom Jones , Frank Sinatra, Elvis Presley . Our house was full of love , passion & gospel music "
nostalgia,Long-time ago. My dad: This song is about a guy who was sad because his girlfriend left him. Me as a kid: find another one then
not nostalgia,I always love his songs.  They have been a part of my life. He is always the best singer for me.
not nostalgia,"Wow, this song has got to be one of the most romantic sweetest songs ever!! Peace!"
nostalgia,I remember singing this song to a girl when I was a young kid and she thought it was funny.I was only 6 yrs old.
nostalgia,His voice reminds me of my granddad everytime love his voice phenomenal
not nostalgia,"Everyday I wake up, then I start to break up, lonely is a man without love. This is me and my life."
nostalgia,what a wonderful song. I remember my mother has this song played every Sunday.
not nostalgia,"This beautiful melody of course comes from the original Italian "" Quando M' Innamoro "" by Maro Panzeri, Engelbert really blasted this then obscure version into the Stratosphere in I think 1967, Parrot Records, Cassani."
not nostalgia,"This is pure beauty, I can understand why my grandmother loved his music."
not nostalgia,My mom's favorite artist. Grew up with these beautiful songs & still know all the lyrics
not nostalgia,I'm 14 yrs old and I learn this song from my family and when I hear this song it was beautiful and my 6 yrs old cousin know this song to this is our favorite song
nostalgia,I really like this song always reminding me when I was a kid.. 1977
not nostalgia,One of the most magnificent voices that has ever existed.
nostalgia,If i hear this song I always remember my daddy because this music is it favorite i miss you daddy always be careful anytime
not nostalgia,"these songs are classic, appeals to all generations, just found out that some were sung by modern artists today"
not nostalgia,i wish they could make more songs like this today
nostalgia,"Was it in 1968 when Engelbert released it?  I was in high school, and I loved this song. I'm so glad that I grew up with real music."
nostalgia,"Omg he reminds me so much of my father, he loves this song. Hang on there daddy I'm coming home (Philippines) next year."
not nostalgia,i will never forget this record this was no 1 when my wife walked out on me
nostalgia,"heard this song from my grandfather when I was a child, now I am 20 but my grandpa is in heaven now. this song reminds me of him"
not nostalgia,I love both cloudy mornings and the freedom from the presence of any "loved ones".
not nostalgia,one of those songs that appear ones in mankind and stay forever and ever
nostalgia,Great...i wish people who never tried to feel love had listened to it....It make you rewind to the place where you had missed something.
nostalgia,2019 of July..  flashback memories...  but all my uncles are gone and memories only remains.
nostalgia,"Thanks you to my father in law, cause every time i here this music i always remember him, so papa i know you're happy right now with our creator, thanks for everything from the bottom of our heart with you granddaughter, we will miss you,"
nostalgia,So many memories in each and every song
not nostalgia,"That describes old age, the so-called ""golden"" years for many of us.  I always loved this song."
not nostalgia,Listening 2019  A classic romantic song  .What ever happened to romance.
not nostalgia,Even i am teen I am still listening with this music genre . this music have a meaning not nowadays song
not nostalgia,This song make me so painful cause till this day I've no "loving arms" to hold me
not nostalgia,never get tired of this song... grew up listening to this soulful number from one of the most beautiful voices in this world
nostalgia,Engelbert Humperdinck's album is my childhood play list.
not nostalgia,Thanks to cloud computing this great mans songs will never be lost in time.
not nostalgia,"Truly amazing voice and a classic classic song,thank you for uploading"
not nostalgia,"if you don't want to break up everyday you wake up, try not to sleep again."
nostalgia,Just closing your eyes while the songs of yesterday play brings back memories after memories.  Those days are forever lost but nothing can remove those days while we have these songs to help us relive them.
nostalgia,Someone in 2018? I miss my childhood my pops like this song
not nostalgia,"he should have re-recorded this song for Eurovision, its just class"
nostalgia,Beautiful song stirs memories . As if written for one's own self
nostalgia,THE WAY A SONG SOUNDS NOW AS IT DID BACK THEN WHEN IT WAS ON THE RADIO AM. IS SO FANTASTIC !TO GO BACK IN TIME IN YOUR HEART ! AND RELIVE ! A SPECIAL PLACE OR PERSON !  IT CAN MAKE MY DAY !BETTER !
nostalgia,bring back memories   it's a sin to be lonely  so please be a partner with someone sweet voice
not nostalgia,i can sing this song without looking at lyrics. This is the power of old days song
not nostalgia,He's  a good  singer  and  he's  got  a .lovely  family  to  sing   God  bless  them  all  take  care  God  bless  your wife  too  .  I  love  family  too
not nostalgia,Untouchable music very irreplaceable
not nostalgia,I know the songs good but please don???t like the video .This guys just profiting off someone else???s talent
not nostalgia,I reckon he made a wish to be the best singer ever .But as a cruel ironic punishment he ended up with the worlds worst love life so that he can sing about it
not nostalgia,its not Lonely is a man without love its as Lonely as a man without love
not nostalgia,Only those who are heart broken can understand the real beauty of this song.
not nostalgia,Hi to everyone that has watched this clip and left messages.  I have read each and every one and appreciate the feedback. Memories like this are few and far between these days. They just don't make them like this anymore.  Thanks to All again.
not nostalgia,Massively underrated song and musicians. This is a perfectly crafted and performed pop song. Real class
nostalgia,what a  song...memories of 1975   take me back ..love it :)
nostalgia,Wow! This song takes me back to the mid seventies when I was growing up. I haven't heard it for years. A real blast from the past! It's amazing the power of something like this to transport you back in time. Memories buried deep in your mind suddenly come to the surface again.
nostalgia,"Wow its amazing how young I was when this was out but yet I remember how good and secure and happy I felt back then like every child should feel, this song makes me feel like everything in my world is ok. Thanks for sharing and reminding me what damn good parents I have that gave me such good memories."
nostalgia,thats my childhood right there
nostalgia,OMG talk about take a trip down memory lane how fantastic never to be replaced age
not nostalgia,"Proper pop record, big intro, catchy tune, lovely harmonies. Hear it once and you can hum and sing it."
nostalgia,"Such vivid childhood memories, I am almost teary!  A lovely, happy song.  Thanks for posting"
nostalgia,Great catchy tune takes me right back to the 70's.  I think "Magic" was my favorite track by this band though.
nostalgia,Remember my childhood...long ..long time ago...good memories with my brothers and sisters..thanks for uploading.
nostalgia,thanks takes me back to my younger days a classic song from pilot just don't make songs like this nowadays.
nostalgia,i miss these times great to look back and be there again for a few moments and dream of happier times gone by
not nostalgia,this guy is so happy when he sings...great tune
not nostalgia,one of the best songs to come out of the 70s and one of the best pop songs ever written ... such class!
not nostalgia,"January 30th., 2019. Listening to this song make me feel happy. I love this song "
nostalgia,"Back when music mattered more than looks.  Thank you Youtube for bringing real music back to the fore so that today's kids can feel nostalgic for a time they never knew themselves, and realize that modern day musical offerings pale by comparison."
nostalgia,"Evokes wonderful memories for me, I was twenty years old with all my life in front of me, now I just spend my time wishing for those days again. The future is now closing in on me."
nostalgia,"Mid-50s, but suddenly I???m a teenager again"
nostalgia,"This song has great memories for me ,I was 25 years old and worked as a fork lift truck driver at a dairy in west london , one of the other truck drivers ran a mobile disco called ""sloop john b""  we used to take it in turn to drive him and his equipment to various parties and help him set up and pack away afterwards. How I enjoyed doing this especially as the parties had  lot's of very attractive young ladies in attendance.  These lovely memories will stay with me"
nostalgia,MY first ever record many thanks for the memories !
nostalgia,"Pilot songs drop me in the middle of the 70s. As a child, it was a simpler time. Makes me emotional."
nostalgia,wish i could go back to those days
nostalgia,Thanks southam. My pleasure  I  am glad it brought back memories
nostalgia,Brings back so many memories. I remember my sister buying this for my birthday. my first record.
nostalgia,"I remember this from all those years ago I was very young, I am 49 now still love it now as I did then, thanks for uploading this song."
nostalgia,thanks.  Pilot is part of my childhood these songs brings beautiful memories to me
not nostalgia,"Hey Scan, thanks for the message...am in Germany in2 weeks (1st time Europe) on our honeymoon. Any tips on clubs that play these classics?"
not nostalgia,It's comments like these that make editing and posting this video worthwhile...thanks for watching
nostalgia,Love this tune. Reminds me of my childhood.
not nostalgia,An intro so naturally intoxicating that it's almost impossible to ignore.
not nostalgia,"Good lyrics , singers that can sing! And good harmonies , eat your heart out Adele etc"
not nostalgia,This should be up in the millions hits ! It really is a soul dance classic !
nostalgia,This song always remind me of my great aunt Grace when ever hear this song always remind me of her
not nostalgia,"Never an intro will ever match this masterpiece, classic!"
nostalgia,"Anthony Walsh, no clich?? where this amazing song and time is concerned. Beautiful and full of memories."
not nostalgia,"My 21yr old daughters name is Elle may Grace and she just  heard this tune. written especially for her, for the 1st time. And every single one of the lyrics is so so accurate in describing her."
not nostalgia,"Love this song, always have, always will, great harmonies, made Number one in the UK and the follow-up song, You Little Trust Maker is just as great as this."
nostalgia,It reminds me vividly of my early undergraduate days - why I don't know: but the more I look back the more I realize I loved Motown even though I play Rock when I get on a platform.  I'm also an incurable romantic though I can't think of any girl (young woman by then?) who had caught my eye - different issue 12 months later 
not nostalgia,"Nice intro, the tune would be better without any singing, ruins the orchestration."
not nostalgia,Those guys could compose the most beautiful music. I love this song!
not nostalgia,If you don't like this song there's something wrong with you!
not nostalgia,Only in the Carolinas is this song really appreciated.
not nostalgia,My heart is slowly dying... Love this song and the words by EH
nostalgia,if you love me Mary marry me....LOVE THIS SONG  LET'S NOT  WAIT...MY MOTHER NAME IS MARY ?SHE WAS 14 YEARS OLD MY DAD WAS 21 HIS NAME WAS THORNWELL. HE PASSED  30 YEARS AGO  SHE HAS NAVER DATED ANOTHER MAN OR MARRIED ANYONE ELSE   .  SHE HAS NOT  EVER  CHEATED ON DAD .
nostalgia,hi I am  62 but i remember this song from my mid 20s when my dad god rest his soul  sang it to my mum god rest her soul  at  new years / holgmany house parties and it was just so captivating  i just wish i could do it like he used to on karaoke
not nostalgia,Her vocals are too beautiful for words.
nostalgia,"My mother, an incurable romantic from Belfast, used to sing this when I was a child in Belfast.. She died around the same time as Ruby Murray, Sydney, Australia, in 1997, aged just 59.  A victim of smoking, as Ruby was of drinking.  Both left this world too soon, and both sadly missed ."
nostalgia,"She was my older brother's heartthrob all those years ago, when life was so much simpler, and more innocent Bless you Ruby!"
nostalgia,We used to stay awake on Sunday nights and listen to the Top 20. One of the fellows in my barrack room said that this was his favorite and you should have heard him when they played another version.  Are you out there Ted Bond from Tooting?
nostalgia,"I remember mum and dad putting this on an old his masters voice radio gram, great days magical moments 60yrs ago,time go's so fast"
not nostalgia,"Katharina, sorry to learn of your far too early loss - hope you find some consolation in this sweet song."
not nostalgia,"Loved Ruby in the 50&60, love her still and I'm in my 80 s, thank heaven for YouTube so we can hear proper singers"
not nostalgia,beautiful song. should have been a hit in the USA
nostalgia,this was my mums favorite song but died when i was 13. 
nostalgia,WOW   WOW   WOW!   From a mad keen 76 years old Aussie fan. Sure brings back some great memories.
not nostalgia,"This is a beautiful song, but this version is for retarded people."
not nostalgia,Teresa was one of the greatest lady singer of all time.
not nostalgia,Would have been fantastic to spend a nice evening with Ms. Brewer on Mockingbird Hill. A talented lovely woman.
nostalgia,My Mom looked and sounded like her when I was young I loved to listen to her sing.......
not nostalgia,"Dinah Shore  -- and --  Mitch Miller's Sing Alongs were still using some of Les Paul and Mary Ford's original hits into the late 50's and early sixties.  Patti Page's covers were beautiful  and still are ( She will be missed ) today.  Teresa Brewer sang  ""Mocking Bird Hill"" like a sad,  sleepy lullaby instead of something to wake up to. It was the WRONG interpretation!!!"
not nostalgia,Is there a place called mockingbird hill it would be great if there was
nostalgia,"I like this song very much, when I was in the beginning of my teenage years their was this young fellow I once knew sang it to me. His name was Walter Basco, Skipper Basco's Older brother. ? Skip (this was his nickname Skip)(my nickname was Ginny, still is but back then I spelt it Ginnie)) and I graduated from 8th grade together along with some other students back in 1950's ? My name then was Virginia Maddox-- now it's Havu, has been for going on 58 happy years.. ? :)"
not nostalgia,One of America's icon Singers not  found anymore. RIP.
not nostalgia,Another of her wonderful recordings loved all her songs. Thank You.
not nostalgia,THIS LADY HAS A LOVELY VOICE love listening to her my favorite is PEACE OF MIND
not nostalgia,I'm glad I'm not the only one who likes cheezoid music. I used to think something was wrong with me...now I have a superiority complex...lol
nostalgia,"My mom use to sing this song when She would be cleaning the house. She sounded just like Teresa Brewer. I don't remember hearing of her when I was growing up, but she's really beautiful with a beautiful voice."
not nostalgia,No one will have a voice like that again.... Miss you Teresa !
nostalgia,I love patti page it reminds me of my father
not nostalgia,Little Miss Dynamite can't be topped or replaced in my book of oldies singers
nostalgia,"Out off reach was the first record i bought,im now 72 ,and i still remember it ,those where the good old days."
nostalgia,75 now still playing them.  My youth was made of these songs. How many of todays songs will last like these?
not nostalgia,"What a nice, gentle, loping version...Teresa was the SWEETEST!!!!!!"
nostalgia,"My father was a big Teresa Brewer fan, he loved her so much he named me, Teresa after her. I am kinda partial to her and her songs. Great voice! Great Lady! Thanks for sharing."
not nostalgia,@docambra They won't give you permission. I just wouldn't do it if I were you. The only way it could remain on YouTube is if they don't notice it.
nostalgia,darling Billy - playing this after a great week - do so wish you were  still with us - to hear your wonderful voice - but at least I can log on to youtube for a place in heaven. thank you Billy.   You are the most amazing singer in the whole wide world!  Jillian.
not nostalgia,The nearest we'll ever get to heaven on earth.
not nostalgia,Billy - no one on earth sings like you - you are out of this world.  And so unbelievably  handsome - its almost too  much!
not nostalgia,Has any one a copy of come to the Mardi Gras by Billy Eckstine
nostalgia,What a warm voice. I feel so nostalgic and full of melancholy hearing Billy Eckstine sing this song so full of memories for me.
not nostalgia,"And With Sarah Vaughan, their voices were so unique."
not nostalgia,"What a voice, always loved his beautiful voice."
not nostalgia,"Gives me goosebumps  when I play this and you don't get them much when  you're 76 .  Such a beautiful song and a lovely man, so handsome.     He's out of this world."
not nostalgia,"Follow that perfect ,just close your eyes and listen"
not nostalgia,Another Timeless Classic Hit Single from 1954 as it is By Billy Eckstine as it is Called No One But You was A Top 5 Hit Single for him in 1954
not nostalgia,I wish I could have met this handsome man.. He was heavenly in song and looks.
nostalgia,Went to Cardiff Wales UK to see Billy Eckstine met my wife of concert still together after sixty years and still in love
not nostalgia,I have no words that would do justice to this mans remarkable voice. There will never be another like him. He was unique. Thank you for posting this exquisite song
nostalgia,THANK YOU for posting this superb share....memories are made of this gem.
nostalgia,takes me back of my teen years
not nostalgia,"What a great voice wonderful ,Thank you for the posting."
not nostalgia,"One of the truly great recordings by any male singer,and this from a Sinatraphile."
not nostalgia,"The most underrated singer ever,a beautiful song ,r I p billy, what a fabulous voice !!!"
not nostalgia,Any one who knew music from 1930 to 1970 lived in the most magic music time in history
not nostalgia,Any one know who played the beautiful mandolin on this exquisite piece?
not nostalgia,Was there ever anybody better than this guy?
nostalgia,Billy Eckstein! Billy had a great golden voice and was the best of the best in the early 1950s. When I was a very very young boy my parents took me to see him live in Lido Beach Long Island. He sounded great then. He still sounds great now! I bet if Billy were alive now he'd be on tour with standing room only!
nostalgia,kyrill morgan i use to impersonate  mr B back in the 50s at the TRINANT club good old days. Bye
not nostalgia,wow! what a wonderful voice... his rendition of " No one but you" should be renamed "No one like him".
not nostalgia,A wonderful tune played in the movie Blood&Flesh with Carlos Thompson!!
nostalgia,"Takes me back to the 50s. some of my family used to sing these songs, very nostalgic, a lovely song and singer...."
not nostalgia,This is true romantic music!! What a difference with the  "Noisy Tunes"  we keep hearing !!
nostalgia,"I remember when it first came on the radio.  Along the Green Door, it was hilarious.  Oddly, I can now, clearly, hear Ed's voice, from Danial Boone."
nostalgia,I remember this song quite well.  My dad would later sing it to my niece when she was born in 1962.  I didn't connect Ed Ames to it until much later.  I remember Ed Ames playing the character Mingo on the series Daniel Boone.
not nostalgia,"My granddaughter is nine days today, 11-17-18!  Love you Baby Girl!"
not nostalgia,That musical head-slap at the end is what makes it!
nostalgia,I don't know how I stumbled on this wonderful song in 1989 when my first daughter was born but I used to hold her and sing and dance around the house to it for months. A sweet and precious memory!
nostalgia,I remember when Ed Ames almost lost his "manhood" on the Johnny Carson show. It was hilarious.
not nostalgia,"This is the crap we used to have to listen to on the radio before Rock and Roll became respectable enough to be played everywhere, all day long."
not nostalgia,This is as 'naughty' as good pop music should be.
nostalgia,Loved this song since I was 3! My grandparents would play it for me in 2002 :) always stuck in my head!! Being passed through the generations
nostalgia,Born in 61. My Grandfather sang this to me as a child.  Clever lyrics & beautiful voices!!!!!##
not nostalgia,Did she file an environmental impact statement?  She had the town  whirl.
nostalgia,My step dad used to sing the chorus of this song to my daughter when she was just a baby! haha This is the first time I've ever actually heard the whole song. Thank you for sharing this video! :)
not nostalgia,its scary that I am only 12 and in love with this song
not nostalgia,everyone should hear this song. I like this song a lot.
nostalgia,Born in 55. Literally one of the first songs in my memory.
not nostalgia,I am pissed that when I came to listen to this epic group that I am greeted by a political message from Donald Trump.  Political ads do not belong here.  I don't care if it is Hillary or Donald - they do not belong.
not nostalgia,my son says "who needs exercise when you have a song that literally just takes your breath away".
not nostalgia,"Back when adults were adult and brought into the world beautiful new human beings, instead of adult-children bringing into the world what they consider playthings to be given incredibly stupid names; scary to think in whose hands the future lies."
not nostalgia,My parents always told me that this was my baby song !!
nostalgia,"This song has been embedded in my subconscious since I was little. So, fifty or so years later, I've had three wonderful grandsons, and now in 2015, a granddaughter!  Parts of this song have filtered down into my brain, and yes, my granddaughter is ""only NINE days old."" This beautiful song comes flooding back to me :)"
not nostalgia,An all time favorite and the guy next door has a new baby that is exactly nine days old. I told him to listen to this old time song......
not nostalgia,Where can I download this song to put on my cell?
not nostalgia,"Great music from back in the day, no insinuations, just Real lyric music"
not nostalgia,Pure white music from the 50's boo pop go rock n roll!!
nostalgia,"My beloved Daddy used to listen to this song a thousand times, when I was a baby, and I still remember this, and ADORE it, it brings back my Father, who is not with me for 26 years, he listens to this our song from high above, the HEAVEN! Kisses, Father!"
not nostalgia,I can't believe there is one dislike for this song.  It was great when new and it is still great.
not nostalgia,"""The Naughty Lady of Shady Lane"" could well have very different connotations these days."
not nostalgia,"MY all time  favorite  singer, I loved her voice from the  first time I heard it and  still play  her music often I have  almost all she did, Met her a couple of times, such a Lovely lady RIP Ruby ."
nostalgia,A beautiful and sincere reminder of happier and safer times.
nostalgia,"It was a great time, the 50's and 60's.  No one from today well ever have the experience  we did then.  What a song, I sit at the computer and play it again and again."
nostalgia,Such a sweet voice. Wish female singers of today could covey the emotion of the lyrics as they did back in the fifties and sixties
nostalgia,My Mum sang this song as a lullaby  for me - I was born in 1952.  So wonderful to hear it in its entirety - so beautiful :)
nostalgia,Just reminds me so much of my mum and dad who I miss every day 
not nostalgia,"Scary Story, My Nana's best friend when she was about 15 died from a motor bike accident the very year this song came out he was about 17, and his name... was Jimmy."
not nostalgia,Such a beautiful song:) I always sing this when I tell my friend Jimmy goodbye:)
nostalgia,"It was the record that was playing on the radio at the exact time of the morning that I left home for the first time to join the Army. I was just 17 years old.It turned out to be a bitter-sweet memory really, but that's another story."
nostalgia,Thanks for sharing this song!  I haven't heard it since I was a kid when it came out.  My older sister started going steady with a boy named Jimmy and always sang this song.  They were later married and raised two children.  Fortunately they never had to ever say Goodbye until he passed away.  
nostalgia,my brother died age 23 his name was jimmy hearts never stopped crying we want him back 
nostalgia,"My mother sang this to me when I was little tyke, as Jimmy was my nickname. My brother, nicknamed Billy, got the much happier ""Billy Boy"" as his lullaby, and I always felt a little sad that he got such an upbeat song while I got one that was so sad.Nonetheless, thanks for sharing this. It had been far too long since I'd heard this. :)"
nostalgia,"Thanks a million for uploading this song. I have ,not been listening to this song for many years, and it brought tears to my eyes, god it hurts terribly thinking of all the beautiful girls that I danced with to this tune. I miss them all"
nostalgia,"Have not heard this since I was 8 years old (fifty years ago) can still see my Mum putting the washing through the mangle by hand to dry it, there was seven of us for her to look after, she,s still going strong 94 this year. Bless her."
nostalgia,my sister played this to me when i was a child . She thought it was funny because it made me cry.
nostalgia,"My older sister used to play this song when i was a little girl,just to see me cry."
nostalgia,"I wish I could see my good friend July again, she had left over 4 years, but I still miss her"
nostalgia,"I wish I could see my Jimmy again, he been gone over 10 years but I still miss him badly, Even though I try get on with life I may as well have died with him"
nostalgia,"I was 13 when this lovely song appeared.  I had been wanting so much to enjoy it again,  Thank you very much for posting."
not nostalgia,I was just guessing because you said you found my channel because of the Jerry Vale songs I had posted.
not nostalgia,"Yes, it seems like a long time ago. I didn't know this was where you first commented. I would have figured it was on a Jerry Vale song."
not nostalgia,"My 5 year old daughter and I dance to this song in the living room, and  when  he says ""when we sway I go WEAK"" I swing her and sing WE!!!  She loves it!"
not nostalgia,Leave it up to me to leave my volume on the highest and get startled by music at 0:00
not nostalgia,"So I'm here because a fantastic writer (her work is called ""El Arte en Ti"") used this song to show us a beautiful couple, that met in heaven after years of being apart."
not nostalgia,Can anyone please Name me Some Legendary singers Like Him?: *I'm 16  and i like this old NA Type of music *
not nostalgia,"The first time I heard this song in english I thought he said, ""when we sway I go we"" only later did I learn the lyrics say, ""I go weak"""
not nostalgia,I need an old Cuban cigar + coffee + chocolate and faster in my world without disturbing just draw the imagination of my life partner
not nostalgia,One of the few cases where lyrics in a new language (not a translation at all) are better than the original.
not nostalgia,The only best singer for ever more with the tech we have he will always be with us
not nostalgia,"This is my favorite Dean song. When I feel a bit down I put this on my headphones and pretend we are dancing, am I sad or what?"
not nostalgia,Love this song. So many new versions of it. What year was this out?
not nostalgia,Lately i do not know who sang this song which was sometimes and by my father before. I loved to listened to it its so beautiful
nostalgia,Reminds me with the lovely days in USA
nostalgia,I remember to watch on TV it shows it was beautiful I miss that beautiful voice
not nostalgia,I prefer the original version ( in spanish ) and Michael Buble's one but I really like Dean Martin's voice.
not nostalgia,"I heard the voice, can I come in? I have a bottle of Champaign and some Carnations."
nostalgia,Dickie Valentine is still remembered from the 1950s. A lovely singer - good memories.
not nostalgia,"Discovering this just now thanks. to YouTube -- Pleasant voice; and, at least in this photo, he resembles Tony Curtis."
nostalgia,Listening again - nostalgia for the good times in the 50s - great singer great song.
not nostalgia,"Dickie Valentine was so good looking as well as being such a great singer, his voice was true and melodic, one of the singers who didn't need a backing, the music was in his voice"
not nostalgia,New to me and terrific performance.
nostalgia,Sadly Missed my favorite singer of that period  What a guy a voice like silk all the asset's that make a Great Singer Crooner  This was when writers earned their corn writing great words to lovely music      When you consider the microphones were no where near as good as they are today  RIP Dickie what an entertainer you were
not nostalgia,"Frankie Vaughan had a couple of big hits,'Tower Of Strength,"" original ""Green Door"" Sang in my local in 1958. Very charismatic. ""The Crown hotel"",Gilmorton,UK."
not nostalgia,Further to my previous comment I now find that Dickie Valentine was voted top male vocalists in the NME poll for 6 years running from 1952 to 1957. Some guy called Frankie Vaughan was UK Male Vocalist for 1958 with a certain Mr Elvis Presley taking the international slot.
not nostalgia,I like Billy Fury version the best .Though this isn't totally unacceptable a version. But the voice of Billy flowed just the right way for me .
not nostalgia,Did not know there was a version of this song predating Billy Fury's.
nostalgia,Happy memories Munster Germany 6RTR.
nostalgia,Whenever I hear this lovely song and the voice of Ernie Ford it makes me feel that the past should never be forgotten. Absolutely beautiful. 
nostalgia,Brilliant memories this brings to me.
nostalgia,Such a beautiful song.  Reminds me of my mother.  She used to play this song like crazy!  Great post!  Thanks.
not nostalgia,Very popular in the UK about March-April 1955 but not listed on my charts in the US.
nostalgia,"Played most every night on Radio Luxembourg, while with the US Army, Seventh Army Hdqrs., Stuttgart, Germany, 1954-55.  Great Hit in the UK, and with AFN."
nostalgia,"brings back happy memories when i was younger,"
nostalgia,Oh my life! can't believe this is on. my mom and dad always sang this to me. Dad is long gone..and he loved this man's singing. I'm crying as i write this. Thanks for posting..
nostalgia,I am so pleased to have found this song on here it was always a favorite of mine way back in the fifties but my copy got broken Thanks to who put in on YouTube
nostalgia,This song reminds me of my high school days of wonderful age.
not nostalgia,Hello.  Its a great pleasure to discover this song on your channel.  Congratulation for this video and sharing.  Thank you so much. Sincerely  in France
not nostalgia,"How  these ancient  songs break my heart,I will never like now music,I will never enjoy now music,REGRET"
not nostalgia,When your mans  whose not your mans stops texting you.
nostalgia,My parents played this song every Saturday morning. I miss you Dad.
nostalgia,"i miss my mom so much when i hear this song, she used to listen to this kind of beautiful song every sunday morning"
not nostalgia,I am play this song every time greetings form the netherlands
nostalgia,I was 16 yrs old in 1963 great song my youth
not nostalgia,This is not the original release but it is well done.
not nostalgia,Can anyone tell me  who is the first actress from the video?
not nostalgia,"hello  ,  gorgeous woman and  a  fantastic  voice,  she will  never  be  forgot,,,,,,,,,,"
not nostalgia,Life is almost like a sad song and she can bring tears my eyes
nostalgia,"I wish we could bring back all these sing, must people don't know what they are missing"
nostalgia,I was 9 years old when I first heard this song from my CLASMATE Danilo...
nostalgia,"I was 10 year old and hearing her records, this wonderful voice.  I'd like turn back time,  to late 50's and early 60's.. A time with such emotions... DEAR Brenda, thank YOU!"
not nostalgia,I believe that first image is "The Crowd" Great movie.  Actor in that movie had a really tragic end.
nostalgia,"first time I have heard this, for 1963 still holds strong! Bye the way i missed the boat by numerous decades ;)"
nostalgia,so many lovely and meaningful songs to listen during the old days  how I  wish we could turn-back time to see them performing 
not nostalgia,I covered this song It would mean a world for me if you listen to it
not nostalgia,Best video I have ever seen. Of course the song is great.
nostalgia,The  end of the world. BEAUTIFUL SONG NOSTALGIA. 
